J1850+0026    mhl+02     J1850+0026    mhl+02     18:50:45.144     1.0e-02   mhl+02     +00:26:25.6      9.0e-01   mhl+02     1.08184378189        3.0e-11   mhl+02     201.4      1.2e+00   mhl+02     1.0    2.0e-01   mhl+02     *                               *       *          pksmb                                            
J1850-0031    hfs+04     J1850-0031    hfs+04     18:50:33.39      9.0e-02   hfs+04     -00:31:09        4.0e+00   hfs+04     0.73418485978        1.0e-10   hfs+04     895        8.0e+00   hfs+04     0.23   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1850+0124    csl+12     J1850+0124    csl+12     18:50:01.0139    8.0e-04   csl+12     +01:24:34.61     3.0e-02   csl+12     0.003559763768043    6.0e-15   csl+12     118.89     5.0e-02   csl+12     0.2          0  csl+12     *                               ELL1    csl+12     palfa                                            
J1850+0423    nab+13     J1850+0423    nab+13     18:50:23.43      1.0e-02   nab+13     +04:23:09.2      4.0e-01   nab+13     0.290716217162       3.0e-12   nab+13     265.8      4.0e-01   nab+13     0.199  4.0e-03   nab+13     *                               *       *          palfa                                            
B1848+13      stwd85     J1850+1335    stwd85     18:50:35.473     2.2e-03   hlk+04     +13:35:58.39     6.1e-02   hlk+04     0.3455818980725      4.0e-13   hlk+04     60.147     8.0e-03   hlk+04     0.65   7.0e-02   hfs+04     *                               *       *          gb3,ar3,pkssw,pksmb                              
J1850+15      bb10       J1850+15      bb10       18:50:09         5.8e+01   bb10       +15:32           1.5e+01   bb10       1.383965             3.0e-06   bb10       24.7       8.7e+00   bb10       *            0  *          RRAT                            *       *          pkssw                                            
J1851-0029    kel+09     J1851-0029    kel+09     18:51:55.093     1.0e-02   kel+09     -00:29:58.1      5.0e-01   kel+09     0.518721435025       9.0e-12   kel+09     510        2.0e+01   kel+09     0.44         0  kel+09     *                               *       *          pksmb                                            
J1851-0053    hfs+04     J1851-0053    hfs+04     18:51:03.17      8.0e-02   hfs+04     -00:53:07.3      1.9e+00   hfs+04     1.40906524128        1.6e-10   hfs+04     24         4.0e+00   hfs+04     1.00   1.1e-01   hfs+04     *                               *       *          pksmb                                            
J1851-0114    lfl+06     J1851-0114    lfl+06     18:51:16.41      3.0e-02   lfl+06     -01:14:13.4      1.3e+00   lfl+06     0.95318168518        4.0e-11   lfl+06     427.2      1.4e+00   lfl+06     0.28         0  lfl+06     *                               *       *          pksmb                                            
J1851+0118    hfs+04     J1851+0118    hfs+04     18:51:52.18      1.3e-01   hfs+04     +01:18:59        5.0e+00   hfs+04     0.90697686069        1.4e-10   hfs+04     418        7.0e+00   hfs+04     0.10   2.0e-02   hfs+04     *                               *       *          pksmb                                            
J1851-0241    hfs+04     J1851-0241    hfs+04     18:51:15.26      1.0e-01   hfs+04     -02:41:31        3.0e+00   hfs+04     0.43519385185        4.0e-11   hfs+04     515        5.0e+00   hfs+04     0.20   3.0e-02   hfs+04     *                               *       *          pksmb                                            
B1848+04      bbf84      J1851+0418    bbf84      18:51:03.298     1.3e-02   hlk+04     +04:18:12.0      3.9e-01   hlk+04     0.284697472498       3.0e-12   hlk+04     115.54     5.0e-02   hlk+04     0.66   8.0e-02   hfs+04     *                               *       *          misc,pksmb                                       
B1848+12      stwd85     J1851+1259    stwd85     18:51:13.215     6.1e-03   hlk+04     +12:59:35.29     1.4e-01   hlk+04     1.20530328456        1.1e-10   hlk+04     70.615     1.6e-02   hlk+04     0.75   8.0e-02   hfs+04     *                               *       *          gb3,pksmb                                        
J1852+0008    hfs+04     J1852+0008    hfs+04     18:52:42.78      3.0e-02   hfs+04     +00:08:09.6      8.0e-01   hfs+04     0.467894113075       2.0e-11   hfs+04     254.9      1.8e+00   hfs+04     0.31   4.0e-02   hfs+04     *                               *       *          pksmb                                            
J1852+0013    hfs+04     J1852+0013    hfs+04     18:52:41.779     2.0e-02   hfs+04     +00:13:57.1      1.2e+00   hfs+04     0.95775094505        5.0e-11   hfs+04     545        3.0e+00   hfs+04     0.30   4.0e-02   hfs+04     *                               *       *          pksmb                                            
B1849+00      cjlm87     J1852+0031    cjlm87     18:52:27.42      1.1e-01   hlk+04     +00:32:02        3.9e+00   hlk+04     2.18019517754        1.5e-10   hlk+04     787        1.7e+01   hlk+04     2.2    2.0e-01   hfs+04     *                               *       *          jb2,pksmb                                        
J1852+0040    ghs05      J1852+0040    ghs05      18:52:38.57      4.0e-02   ghs05      +00:40:19.8      6.0e-01   ghs05      0.104912611147       4.0e-12   hg10       *                0  *          *            0  *          NRAD                            *       *          misc                                             
J1852-0118    hfs+04     J1852-0118    hfs+04     18:52:17.15      3.0e-02   hfs+04     -01:18:14.8      1.7e+00   hfs+04     0.45147285265        3.0e-11   hfs+04     286        3.0e+00   hfs+04     0.35   4.0e-02   hfs+04     *                               *       *          pksmb                                            
J1852-0127    hfs+04     J1852-0127    hfs+04     18:52:03.60      4.0e-02   hfs+04     -01:27:23.4      1.4e+00   hfs+04     0.42897892562        3.0e-11   hfs+04     431        3.0e+00   hfs+04     0.58   7.0e-02   hfs+04     *                               *       *          pksmb                                            
J1852+0305    mhl+02     J1852+0305    mhl+02     18:52:32.6       5.0e-01   mhl+02     +03:05:05        9.0e+00   mhl+02     1.3261485670         8.0e-10   mhl+02     320        1.2e+01   mhl+02     0.8    2.0e-01   mhl+02     *                               *       *          pksmb                                            
J1852-0635    hfs+04     J1852-0635    hfs+04     18:52:57.38      1.4e-01   hfs+04     -06:35:57        8.0e+00   hfs+04     0.52415088472        1.4e-10   hfs+04     171        6.0e+00   hfs+04     5.9    6.0e-01   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1852-2610    mld+96     J1852-2610    mld+96     18:52:59.467     1.3e-02   hlk+04     -26:10:12.7      1.8e+00   hlk+04     0.3363371316200      6.0e-13   hlk+04     56.814     1.9e-02   hlk+04     1.4          0  lor94      *                               *       *          pks70,pkssw,htru_pks                             
J1853-0004    hfs+04     J1853-0004    hfs+04     18:53:23.018     6.0e-03   hfs+04     -00:04:32.3      4.0e-01   hfs+04     0.1014357461981      1.4e-12   hfs+04     438.2      8.0e-01   hfs+04     0.87   1.0e-01   hfs+04     *                               *       *          pksmb                                            
J1853+0011    hfs+04     J1853+0011    hfs+04     18:53:29.968     1.4e-02   hfs+04     +00:11:29.7      5.0e-01   hfs+04     0.397881893633       1.2e-11   hfs+04     568.8      1.6e+00   hfs+04     0.30   8.0e-02   hfs+04     *                               *       *          pksmb                                            
J1853+0056    mhl+02     J1853+0056    mhl+02     18:53:32.66      1.6e-01   mhl+02     +00:56:59        4.0e+00   mhl+02     0.27557759958        6.0e-11   mhl+02     180.9      1.2e+00   mhl+02     0.21   4.0e-02   mhl+02     *                               *       *          pksmb                                            
J1853+0505    hfs+04     J1853+0505    hfs+04     18:53:04.36      7.0e-02   hfs+04     +05:05:26.1      1.8e+00   hfs+04     0.90513715648        5.0e-11   hfs+04     279        3.0e+00   hfs+04     1.50   1.6e-01   hfs+04     *                               *       *          pksmb                                            
J1853+0545    kbm+03     J1853+0545    kbm+03     18:53:58.411     1.0e-03   ywml10     +05:45:55.26     3.0e-02   ywml10     0.12640033324309     1.6e-13   ywml10     198.7      5.0e-01   kbm+03     1.6    1.7e+00   kbm+03     *                               *       *          pksmb                                            
J1853-0649    lbr+13     J1853-0649    lbr+13     18:53:25.422     3.6e-02   lbr+13     -06:49:25.9      2.6e+00   lbr+13     1.048132105087       5.4e-11   lbr+13     44.541     3.6e-02   lbr+13     *            0  *          *                               *       *          gb350                                            
J1853+0853    lfl+06     J1853+0853    lfl+06     18:53:22.07      1.1e-01   lfl+06     +08:53:17        3.0e+00   lfl+06     3.9146579157         5.0e-10   lfl+06     214        5.0e+00   lfl+06     0.11         0  lfl+06     *                               *       *          pksmb                                            
J1853+1303    fsk+04     J1853+1303    fsk+04     18:53:57.319174  8.0e-06   gsf+11     +13:03:44.0784   2.0e-04   gsf+11     0.00409179738145616  3.0e-17   gsf+11     30.5701    6.0e-04   gsf+11     0.4    2.0e-01   sfl+05     *                               BT      gsf+11     pksmb                                            
J1854+0306    dcm+09     J1854+0306    dcm+09     18:54:02.98      3.0e-02   kkl+11     +03:06:14        1.0e+00   kkl+11     4.5578200962         1.0e-10   kkl+11     192.4      5.2e+00   kkl+11     *            0  *          RRAT                            *       *          pksmb                                            
J1854+0317    eklk13     J1854+0317    eklk13     18:54:29.06      7.0e-02   eklk13     +03:17:31        3.0e+00   eklk13     1.3664496471         2.0e-10   eklk13     404        8.0e+00   eklk13     0.12   1.0e-02   eklk13     *                               *       *          pksmb                                            
B1852+10      sstd86     J1854+1050    sstd86     18:54:29.33      8.3e-02   hlk+04     +10:46:42        2.2e+00   hlk+04     0.573196989078       2.0e-11   hlk+04     207.2      3.0e-01   hlk+04     1.03   1.4e-01   hfs+04     *                               *       *          ar2,ar3,ar4,pksmb                                
B1851-14      mlt+78     J1854-1421    mlt+78     18:54:44.292     8.3e-03   hlk+04     -14:21:26.4      6.1e-01   hlk+04     1.146594847118       1.4e-11   hlk+04     130.40     3.0e-02   hlk+04     *            0  *          *                               *       *          mol2,pks70,pkssw,htru_pks                        
